Entity;Political.regime;Age.of.democracies.in.2015;human_right;economic.freedom;gender inequality;pct of bullied children;corruption;literacy rate;HDI;mean_schooling_for_adults;gscore
Afghanistan;1;0;-2,311016703; ;0,667;48,1;16;38,168041;0,498;3,8;2,97
Albania;2;19;0,851179641;7,538571065;0,26699999;43,3;36;97,553902;0,785;10;5,98
Algeria;1;0;0,354196847;4,985321051;0,42899999;52;35;79,608398;0,754;8;3,5
Andorra; ;22;4,221864964; ; ; ; ; ;0,858;10,2;
Angola;1;0;-0,388862744;5,166512658; ; ;19;71,164162;0,581;5,1;3,62
Antigua and Barbuda; ;12;1,335031449; ; ;25; ; ;0,78;9,2;
Argentina;2;33;0,784109255;4,839536444; ;25;40;98,089973;0,825;9,9;7,02
Armenia;1;0;0,106262163;7,565793873;0,29300001;10;35;99,768417;0,755;11,7;4,79
Aruba; ; ; ; ; ; ; ;97,5242; ; ;
Australia;3;115;1,753645266;7,977567819;0,12;39,6;77; ;0,939;12,9;9,09
Austria;3;70;2,275798607;7,564971368;0,078000002;41;76; ;0,908;12,1;8,29
Azerbaijan;1;0;-0,397757013;6,477059287;0,32600001;36;25;99,80526;0,757;10,7;2,65
Bahamas; ;43;0,844839947;7,348118274;0,36199999;44,3;65; ;0,807;11,1;
Bahrain;0;0;-0,373735987;7,547998735;0,233; ;36;95,717262;0,846;9,4;
Bangladesh;1;0;-1,422503477;6,320027985;0,51999998;64,5;26;61,493832;0,608;5,8;5,57
Barbados;3;50;1,171229206;6,441310507;0,29100001;13;68; ;0,8;10,6;
Belarus;1;0;-0,02901722;6,222585784;0,14399999;25,8;44;99,722038;0,808;12,3;
Belgium;3;122;2,729590384;7,324201584;0,072999999;37;75; ;0,916;11,8;7,78
Belize; ;35;0,940695757;6,861622623;0,375;31; ;82,776817;0,708;10,5;
Benin;1;25;0,883672664;5,978389576;0,61299998;42;40;38,44714;0,515;3,6;5,74
Bhutan;2;0;1,795294373;7,036470399;0,477;29,6;68;63,906818;0,612;3,1;5,3
Bolivia;1;34;0,993489422;6,23460416;0,44600001;30;29;95,141922;0,693;8,9;5,7
Bosnia and Herzegovina;2;24;1,163504478;6,621755881;0,15800001; ;38;98,485764;0,768;9,7;4,98
Botswana;2;50;1,214679585;7,437125791;0,435;52;61;88,224411;0,717;9,3;7,81
Brazil;2;31;-1,167172456;5,758552944;0,414;31,6;35;92,586807;0,759;7,8;6,97
Brunei; ;0;1,976181804;6,941173001; ;31,1;63;96,656532;0,853;9,1;
Bulgaria;2;26;0,618488942;7,413846286;0,223;23,7;42;98,38858;0,813;11,8;7,03
Burkina Faso;2;0;0,092185174;6,059183395;0,61500001;40,6;41;37,7467;0,423;1,5;4,75
Burundi;1;11;-1,595026447;5,932866637;0,47400001;70,3;17;85,496094;0,417;3;2,33
Cambodia;1;0;0,025049962;7,187433978;0,479;22;20;78,34594;0,582;4,8;3,59
Cameroon;1;0;-0,931839823;5,844995065;0,56800002;53,3;25;74,98558;0,556;6,3;3,28
Canada;3;149;2,791056339;7,989774329;0,097999997;32;81; ;0,926;13,3;9,15
Cape Verde;2;25;1,496484765;6,662962575; ;22,4;57;88,465424;0,654;6,1;7,88
Central African Republic;1;0;-2,056797688;5,085648; ;50,8;26;36,752609;0,367;4,3;1,52
Chad;1;0;-0,515494095;5,456090431;0,69499999;56,6;19;40,018242;0,404;2,3;1,61
Chile;2;26;1,127567152;7,780627687;0,322;15;67;96,627548;0,843;10,3;7,97
China;0;0;-1,298812854;6,451520582;0,164;29;39;96,357452;0,752;7,8;3,32
Colombia;2;58;-0,892362842;6,4960464;0,39300001;32;36;94,577057;0,747;8,3;6,96
Comoros;1;10;2,276412694; ; ;29,2;27;78,13739;0,503;4,8;3,71
Congo;1;0;-1,285834248;5,0329102;0,59200001;48,5;19;79,311172;0,606;6,3;3,31
Costa Rica;3;67;1,586318505;7,544079485;0,308;19;56;97,647247;0,794;8,8;8,07
Cote d'Ivoire;1;0;-0,439045513;5,994718394;0,67199999;53,3;35;43,26532;0,492;5,2;4,15
Croatia;2;16;2,178475169;6,95783489;0,141;16;48;99,272591;0,831;11,3;6,57
Cuba;0;0;-0,227479039; ;0,30399999;27,8;47;99,710716;0,777;11,8;3
Cyprus;3;39;1,523086737;7,708212245;0,116;33;59;99,059776;0,869;12,1;7,59
Czechia;2;23;2,988253679;7,573594724;0,12899999;16;59; ;0,888;12,7;
Democratic Republic of Congo;1;0;-2,431054595;5,679637719;0,66299999;54,8;20;77,221672;0,457;6,8;1,49
Denmark;3;115;3,036424591;7,766156184;0,041000001;17;88; ;0,929;12,6;9,22
Djibouti;1;0;-0,223077108; ; ; ;31; ;0,476;4,1;2,87
Dominica; ;38;1,875982784; ; ; ;57; ;0,715;7,8;
Dominican Republic;2;50;-0,293057049;7,18506935;0,47;26,6;30;92,465424;0,736;7,8;6,54
Ecuador;2;13;0,643758092;6,058442512;0,391;29;34;94,515472;0,752;8,7;
Egypt;1;0;-1,536419686;5,712223766; ;70;35;75,842621;0,696;7,2;3,36
El Salvador;2;32;0,246425049;7,133397009;0,384;30,8;35;87,648216;0,674;6,9;5,96
Equatorial Guinea;1;0;0,004124115; ; ; ;16;95,195663;0,591;5,5;1,92
Eritrea;0;0;-1,9641295; ; ; ;24;73,845253;0,44;4;
Estonia;3;25;2,713978606;7,837735993;0,131;37;73;99,823509;0,871;12,7;7,97
Eswatini;0;0;0,559096043;6,470780954;0,56599998;32;38;87,470192;0,588;6,5;
Ethiopia;1;0;-1,950493427;5,746327451;0,49900001;50,2;34;49,031521;0,463;2,7;3,35
Fiji;1;29;1,399055863;6,808111223;0,35800001;42; ; ;0,741;10,8;
Finland;3;99;3,154019291;7,620819275;0,056000002;28;85; ;0,92;12,4;9,14
France;3;70;1,868426729;7,23569039;0,102;32;72; ;0,901;11,5;7,8
Gabon;1;0;0,072854102;5,864793558;0,542; ;31;83,237877;0,702;8,2;3,61
Gambia;2;0;0,641877161;7,359703603;0,64099997;44,6;37;55,572762;0,46;3,5;4,31
Georgia;2;12;0,846184377;8,02;0,361;38,9;58;99,759621;0,78;12,8;5,5
Germany;3;26;2,930530899;7,679705306;0,066;30;80; ;0,936;14,1;8,68
Ghana;3;19;0,23130234;6,601015102;0,54699999;62;41;76,575897;0,592;7,1;6,63
Greece;3;42;0,723140758;6,492319707;0,119;29;45;95,29287;0,87;10,8;7,29
Grenada; ;32;2,360295215; ; ; ;52; ;0,772;8,7;
Guam; ; ; ; ; ; ; ;99,78904; ; ;
Guatemala;2;30;0,296720965;7,623024421;0,49399999;36,2;27;79,074211;0,65;6,5;5,6
Guinea;1;0;0,002368991;5,9311292; ;45,6;28;30,47279;0,459;2,6;3,14
Guinea-Bissau;2;0;1,201649104;5,204764232; ;46,5;16;59,77285;0,455;3;1,98
Guyana;2;24;0,90521378;6,319215573;0,50800002;38;37;87,535316;0,654;8,4;6,67
Haiti;1;0;0,590256953;6,540483644;0,59299999; ;20;60,68935;0,498;5,3;4,91
Honduras;1;6;-0,621338298;7,053142395;0,461;32;29;88,424583;0,617;6,5;5,63
Hong Kong;0; ; ;8,971599172; ; ;76; ;0,933;12;6,19
Hungary;1;26;1,089712178;7,226473871;0,252;24;46;99,380882;0,838;11,9;6,63
Iceland;3;98;4,937323598;7,212059862;0,050999999;16;76; ;0,935;12,4;
India;1;66;-1,394107965;6,627177736;0,52999997;40,3;41;72,225304;0,64;6,4;7,23
Indonesia;2;17;-0,433937111;7,142168145;0,46700001;50;38;95,437683;0,694;8;6,39
Iran;1;0;-1,377935842;6,020622191;0,509;27,5;28;87,172531;0,798;9,8;2,45
Iraq;1;0;-2,388372091;5,407654263;0,52499998;28;18;79,721764;0,685;6,8;4,06
Ireland;3;94;2,718400896;8,067158288;0,127;26;73; ;0,938;12,5;
Israel;3;68;-1,064022925;7,469375569;0,103;37,7;61; ;0,903;13;7,79
Italy;3;70;1,368498227;7,272612388;0,085000001;9;52;99,015793;0,88;10,2;
Jamaica;2;54;-0,026261613;7,198321709;0,42199999;40;44;88,499901;0,732;9,8;7,02
Japan;3;64;2,370679835;7,470801386;0,116;36,8;73; ;0,909;12,8;7,99
Jordan;0;0;0,145846286;7,469710428;0,47799999;41;49;98,014351;0,735;10,4;3,93
Kazakhstan;1;0;-0,158347042;7,118116418;0,20200001;41;31;99,787849;0,8;11,8;2,94
Kenya;1;14;-1,201222357;7,214441717;0,565;57;27;78,023399;0,59;6,5;5,11
Kiribati; ;19;4,107931326; ; ;37; ; ;0,612;7,9;
Korea; ; ; ; ; ;36; ; ;0,903; ;
Kosovo;2;4;1,453961285; ; ; ;37; ; ; ;
Kuwait;1;0;0,694287592;6,762842638;0,33500001;28;41;96,117706;0,803;7,3;
Kyrgyzstan;1;0;-0,403234839;6,928605538;0,39399999;33,3;29;99,50132;0,672;10,9;
Laos;0;0;0,91023329;6,897792969;0,46799999;27,5;29;79,867462;0,601;5,2;2,37
Latvia;3;23;2,059508776;7,642272018;0,191;43;58;99,892693;0,847;12,8;
Lebanon;1;0;-0,23126407;7,0162559;0,38100001;25;28;94,051102;0,757;8,7;
Lesotho;2;14;0,2225541;6,381731401;0,54900002;51,1;41;79,360931;0,52;6,3;6,64
Liberia;2;10;0,978316668;6,558400412;0,64899999;50,2;32;47,60014;0,435;4,7;5,35
Libya;0;0;-1,975751432;4,773094763;0,167;35;17;91,38887;0,706;7,3;2,19
Liechtenstein; ;25;4,369621513; ; ; ; ; ;0,916;12,5;
Lithuania;2;24;2,225502696;7,849591595;0,121;52;59;99,82328;0,858;13;
Luxembourg;3;126;5,129846482;7,586641726;0,075000003;28;81; ;0,904;12,1;8,81
Macao; ; ; ; ; ; ; ;96,2276; ; ;
Madagascar;1;0;-0,23040146;6,174695918; ;38,2;25;64,656303;0,519;6,1;5,22
Malawi;2;22;0,435626128;5,86902225;0,61400002;45;32;65,963829;0,477;4,5;5,49
Malaysia;1;0;-0,212651876;6,913130396;0,29100001;21;47;94,636993;0,802;10,2;6,88
Maldives;2;0;0,555945257; ;0,31200001;37;31;99,321022;0,717;6,3;
Mali;0;0;-1,197660938;5,794917503;0,68900001;46;32;33,068871;0,427;2,3;5,41
Malta;2;52;2,803173634;7,740315514;0,21699999;27,2;54;94,066612;0,878;11,3;8,21
Marshall Islands; ;24;2,064719691; ; ; ; ;98,265083;0,708;10,9;
Mauritania;1;0;-0,06432388;5,962612389;0,62699997;47;27;52,123562;0,52;4,5;3,82
Mauritius;2;48;0,958180399;7,995281457;0,38;36;51;90,616043;0,79;9,3;
Mexico;2;16;-1,423018386;6,895887517;0,345;29,1;28;94,545593;0,774;8,6;6,19
Micronesia (country); ;24;2,577860364; ; ; ; ; ;0,627;8;
Moldova;2;25;0,484552357;6,629613844;0,23199999;38,3;33;99,244392;0,7;11,6;
Monaco; ;22;4,289002957; ; ; ; ; ; ; ;
Mongolia;2;26;0,4774756;7,395856246;0,278;31;37;98,367638;0,741;10,1;6,5
Montenegro;1;10;1,557095013;7,050268253;0,156;25,9;45;98,719948;0,814;11,3;5,74
Morocco;0;0;0,335490756;6,339798901;0,49399999;1;43;71,710548;0,667;5,5;4,99
Mozambique;1;0;-0,087209576;5,479430172;0,574;47,5;23;58,836552;0,437;3,5;3,85
