Rang	Pays	Score_general	Process	Fct-gouv	Partici_polit	Cultur_polit	Libertes_civil
1 	Norvège	9.87	10	9.64	10	10	9.71
2 	Islande 	9.58 	10 	9.29 	8.89 	10 	9.71
3 	Suède 	9.39 	9.58 	9.64 	8.33 	10 	9.41
4 	Nouvelle-Zélande 	9.26 	10 	9.29 	8.89 	8.13 	10
5 	Danemark 	9.22 	10 	9.29 	8.33 	9.38 	9.12
6 	Canada 	9.15 	9.58 	9.64 	7.78 	8.75 	10
6 	Irlande 	9.15 	9.58 	7.86 	8.33 	10 	10
8 	Finlande 	9.14 	10 	8.93 	8.33 	8.75 	9.71
9 	Australie 	9.09 	10 	8.93 	7.78 	8.75 	10
10 	Suisse 	9.03 	9.58 	9.29 	7.78 	9.38 	9.12
11 	Pays-Bas 	8.89 	9.58 	9.29 	8.33 	8.13 	9.12
12 	Luxembourg 	8.81 	10 	8.93 	6.67 	8.75 	9.71
13 	Allemagne 	8.68 	9.58 	8.57 	8.33 	7.5 	9.41
14 	Royaume-Uni 	8.53 	9.58 	7.5 	8.33 	8.13 	9.12
15 	Uruguay 	8.38 	10 	8.57 	6.11 	7.5 	9.71
16 	Autriche 	8.29 	9.58 	7.86 	8.33 	6.88 	8.82
17 	Maurice 	8.22 	9.17 	8.21 	5.56 	8.75 	9.41
18 	Malte 	8.21 	9.17 	8.21 	6.11 	8.75 	8.82
19 	Espagne 	8.08 	9.17 	7.14 	7.78 	7.5 	8.82
20 	Costa_Rica 	8.07 	9.58 	7.5 	6.67 	7.5 	9.12
21 	Corée_du_Sud 	8 	9.17 	7.86 	7.22 	7.5 	8.24
22 	Japon 	7.99 	8.75 	8.21 	6.67 	7.5 	8.82
23 	Chili 	7.97 	9.58 	8.57 	4.44 	8.13 	9.12
23 	Estonie 	7.97 	9.58 	8.21 	6.67 	6.88 	8.53
25 	Etats-Unis 	7.96 	9.17 	7.14 	7.78 	7.5 	8.24
26 	Cap_Vert 	7.88 	9.17 	7.86 	6.67 	6.88 	8.82
27 	Portugal 	7.84 	9.58 	7.5 	6.11 	6.88 	9.12
28 	Botswana 	7.81 	9.17 	7.14 	6.11 	7.5 	9.12
29 	France 	7.8 	9.58 	7.5 	7.78 	5.63 	8.53
30 	Israel 	7.79 	9.17 	7.5 	8.89 	7.5 	5.88
31 	Belgique 	7.78 	9.58 	8.93 	5 	6.88 	8.53
32 	Taiwan 	7.73 	9.58 	8.21 	6.11 	5.63 	9.12
33 	Italie 	7.71 	9.58 	6.07 	7.78 	6.88 	8.24
34 	République_Tchèque 	7.69 	9.58 	6.79 	6.67 	6.88 	8.53
35 	Chypre 	7.59 	9.17 	6.43 	6.67 	6.88 	8.82
36	Lituanie 	7.5 	9.58 	6.43 	6.11 	6.25 	9.12
36	Slovénie 	7.5 	9.58 	6.79 	6.67 	6.25 	8.24
38 	Lettonie 	7.38 	9.58 	6.07 	5.56 	6.88 	8.82
39 	Grèce 	7.29 	9.58 	5.36 	6.11 	6.88 	8.53
40 	Afrique_du_Sud 	7.24 	7.42 	7.5 	8.33 	5 	7.94
41 	Inde 	7.23 	9.17 	6.79 	7.22 	5.63 	7.35
42 	Timor_Oriental 	7.19 	9.08 	6.79 	5.56 	6.88 	7.65
43 	Trinité-et-Tobago 	7.16 	9.58 	7.14 	6.11 	5.63 	7.35
44 	Slovaquie 	7.1 	9.58 	6.79 	5.56 	5.63 	7.94
45 	Panama 	7.05 	9.58 	6.07 	6.67 	5 	7.94
46 	Bulgarie 	7.03 	9.17 	6.43 	7.22 	4.38 	7.94
47 	Jamaïque 	7.02 	8.75 	7.14 	4.44 	6.25 	8.53
47 	Argentine 	7.02 	9.17 	5.36 	6.11 	6.25 	8.24
49 	Surinam 	6.98 	9.17 	6.43 	6.67 	5 	7.65
50 	Brésil 	6.97 	9.58 	5.36 	6.67 	5 	8.24
51 	Colombie 	6.96 	9.17 	6.79 	5 	5.63 	8.24
52 	Malaisie 	6.88 	7.75 	7.86 	6.67 	6.25 	5.88
53 	Philippines 	6.71 	9.17 	5.71 	7.22 	4.38 	7.06
54	Pologne 	6.67 	9.17 	6.07 	6.11 	4.38 	7.65
54 	Guyana 	6.67 	9.17 	5.71 	6.11 	5 	7.35
56 	Lesotho 	6.64 	9.17 	5 	6.67 	5.63 	6.76
57 	Hongrie 	6.63 	8.75 	6.07 	5 	6.25 	7.06
57 	Ghana 	6.63 	8.33 	5.71 	6.67 	6.25 	6.18
59 	Pérou 	6.6 	9.17 	5 	5.56 	5.63 	7.65
60 	Croatie 	6.57 	9.17 	6.07 	5.56 	5 	7.06
61 	République_Dominicaine 	6.54 	9.17 	5.36 	6.11 	5 	7.06
62 	Mongolie 	6.5 	9.17 	5.71 	5.56 	5 	7.06
63 	Serbie 	6.41 	8.25 	5.36 	6.11 	5 	7.35
63 	Tunisie 	6.41 	6.42 	5.71 	7.78 	6.25 	5.88
65 	Indonésie 	6.39 	6.92 	7.14 	6.67 	5.63 	5.59
66 	Roumanie 	6.38 	9.17 	5.71 	5 	4.38 	7.65
66 	Singapour 	6.38 	4.33 	7.86 	6.11 	6.25 	7.35
68 	Equateur 	6.27 	8.75 	5.36 	6.11 	4.38 	6.76
69 	Namibie 	6.25 	5.67 	5.36 	6.67 	5.63 	7.94
70 	Paraguay 	6.24 	8.75 	5.71 	5 	4.38 	7.35
71 	Mexique 	6.19 	8.33 	6.07 	7.22 	3.13 	6.18
71 	Sri_Lanka 	6.19 	7.83 	5.71 	5 	6.25 	6.18
73 	Hong_Kong 	6.15 	3.08 	6.07 	5.56 	7.5 	8.53
73 	Sénégal 	6.15 	7.5 	6.07 	4.44 	6.25 	6.47
75 	Papouasie-Nouvelle-Guinée 	6.03 	6.92 	6.07 	3.89 	5.63 	7.65
76 	Albanie 	5.98 	7 	4.71 	5.56 	5 	7.65
77 	Salvador 	5.96 	9.17 	4.29 	5.56 	3.75 	7.06
78 	Macédonie 	5.87 	6.5 	5.36 	6.67 	3.75 	7.06
79 	Moldavie 	5.85 	7.08 	4.64 	6.11 	4.38 	7.06
79 	Fidji 	5.85 	6.58 	5.36 	6.11 	5.63 	5.59
81 	Monténégro 	5.74 	6.08 	5.36 	6.11 	4.38 	6.76
81 	Bénin 	5.74 	6.5 	5.71 	5 	5.63 	5.88
83 	Bolivie 	5.7 	7.5 	4.64 	5.56 	3.75 	7.06
84 	Ukraine 	5.69 	6.17 	3.21 	6.67 	6.25 	6.18
85 	Honduras 	5.63 	8.5 	4.64 	4.44 	4.38 	6.18
86 	Zambie 	5.61 	6.17 	4.64 	3.89 	6.88 	6.47
87 	Guatemala 	5.6 	7.92 	5.36 	3.89 	4.38 	6.47
88 	Bangladesh 	5.57 	7.83 	5.07 	5.56 	4.38 	5
89 	Géorgie 	5.5 	7.83 	3.57 	6.11 	4.38 	5.59
90 	Malawi 	5.49 	6.58 	4.29 	4.44 	6.25 	5.88
91 	Mali 	5.41 	7.42 	3.93 	3.89 	5.63 	6.18
91 	Tanzanie 	5.41 	7 	5 	5 	5.63 	4.41
93 	Liberia 	5.35 	7.42 	2.57 	5.56 	5.63 	5.59
94 	Bhoutan 	5.3 	8.75 	6.79 	2.78 	4.38 	3.82
95 	Madagascar 	5.22 	6.08 	3.57 	6.11 	5.63 	4.71
96 	Ouganda 	5.2 	5.25 	3.57 	4.44 	6.88 	5.88
97 	Népal 	5.18 	4.33 	5.36 	5 	5.63 	5.59
98 	Kirghizistan 	5.11 	6.58 	2.93 	6.67 	4.38 	5
98 	Kenya 	5.11 	3.5 	5.36 	6.67 	5.63 	4.41
100 	Maroc 	4.99 	5.25 	4.64 	5 	5.63 	4.41
101 	Bosnie-Herzégovine 	4.98 	6.5 	2.93 	5.56 	3.75 	6.18
102 	Haïti 	4.91 	5.58 	2.93 	3.89 	6.25 	5.88
103 	Arménie 	4.79 	5.67 	4.64 	5.56 	2.5 	5.59
104 	Burkina_Faso 	4.75 	4.42 	4.29 	4.44 	5.63 	5
105 	Sierra_Leone 	4.66 	6.58 	1.86 	3.33 	6.25 	5.29
106 	Thaïlande 	4.63 	3 	4.29 	5 	5 	5.88
