Countries;GPD;Gender_Gap;Ethnic;Linguistic;Religious;Science_and_Technology;Culture;International_Peace_and_Security;World_Order;Planet_and_Climate;Prosperity_and_Equality;Health_and_Well_being;Emigrants;Suicide_Both_sexes;Suicide_Men;Suicide_Women;National_power;Population;Poverty_pct;HDI;Corruption;Terrorism;Gscore
 Luxembourg;109,602;0,725;0,5302;0,644;0,0911;37;10;100;20;30;56;11;75,47;10,4;15;5,8;0,000428;615729;N/A;0,916;80;N/A;8,81
 Denmark;58,439;0,782;0,0819;0,1049;0,2333;4;6;64;9;14;2;3;255,616;9,2;13,2;5,2;0,001493;5771876;N/A;0,94;88;1,484;9,22
 Iraq;4,438;N/A;0,3689;0,3694;0,4844;162;156;158;115;87;153;135;2033,522;4,1;4,7;3,4;0,005222;39309783;18,9;0,674;21;8,682;4,06
 Norway;67,989;0,842;0,0586;0,0673;0,2048;49;22;51;7;5;8;5;202,336;10,1;13,6;6,5;0,00164;5378857;N/A;0,957;84;1,297;9,87
 Nigeria;2,149;0,635;0,8505;0,8316;0,7421;142;146;5;137;61;122;150;1438,331;N/A;N/A;N/A;0,007792;200963599;40,1;0,539;25;8,314;4,44
 NewZealand;38,675;0,799;0,3969;0,1657;0,811;12;35;33;19;27;69;17;777,303;11,6;17,3;6,2;0,000771;4783063;N/A;0,931;88;4,337;9,26
 China;10,839;0,676;0,1538;0,1327;0,6643;70;111;40;109;96;113;48;10732,281;N/A;N/A;N/A;0,198566;1433783686;3,1;0,761;42;N/A;3,32
 Finland;48,461;0,832;0,1315;0,1412;0,2531;7;13;52;8;6;9;12;290,006;N/A;N/A;N/A;0,002144;5532156;N/A;0,938;85;1,721;9,14
 Ireland;79,669;0,798;0,1206;0,0312;0,155;32;8;50;21;10;1;2;816,797;N/A;N/A;N/A;0,000635;4882495;N/A;0,955;72;2,845;
 Singapore;58,484;0,724;0,3857;0,3835;0,6561;26;29;14;30;21;19;49;340,751;N/A;N/A;N/A;0,003226;5804337;N/A;0,938;85;0;6,38
 India;1,877;0,668;0,4182;0,8069;0,326;67;57;32;89;97;49;35;17510,931;N/A;N/A;N/A;0,073444;1366417754;21,9;0,645;40;7,353;7,23
 Albania;4,898;0,769;0,2204;0,0399;0,4719;28;33;84;45;132;6;106;1207,032;5,6;7;4,3;0,000276;2880917;14,3;0,795;36;0,677;5,98
 Sweden;50,339;0,82;0,06;0,1968;0,2342;17;5;67;4;26;3;1;353,825;N/A;N/A;N/A;0,002557;10036379;N/A;0,945;85;2,892;9,39
 Philippines;3,373;0,781;0,2385;0,836;0,3056;146;58;47;61;56;12;94;5377,337;3,7;5,2;2,3;0,005722;108116615;16,6;0,718;34;7,099;6,71
  Switzerland;81,867;0,779;N/A;N/A;N/A;11;4;44;10;2;5;6;679,796;N/A;N/A;N/A;0,001083;8591365;N/A;0,955;85;0,286;9,03
 Mali;899;0,621;0,6906;0,8388;0,182;143;124;155;139;143;57;142;1264,7;8,9;13,5;4,7;0,000516;19658031;41,1;0,434;30;7,049;5,41
 Burkina_Faso;769;0,635;0,7377;0,7228;0,5798;92;124;46;66;148;30;125;1581,083;14,8;22,4;9,1;0,000659;20321378;40,1;0,452;40;6,755;4,75
 Hong_Kong;45,176;N/A;0,062;0,2128;0,4191;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0,949;77;N/A;6,15
 Cameroon;1,493;0,686;0,8635;0,8898;0,7338;101;144;13;90;105;150;74;383,029;N/A;N/A;N/A;0,000969;25876380;37,5;0,563;25;6,627;3,28
 Netherlands;51,29;0,736;0,1054;0,5143;0,7222;8;2;27;3;19;4;9;980,753;9,6;12,9;6,4;0,005646;17097130;N/A;0,944;82;2,689;8,89
 Egypt;3,561;0,629;0,1836;0,0237;0,1979;60;123;4;120;70;134;73;3547,626;4,4;7,2;1,7;0,009713;100388073;27,8;0,707;33;6,419;3,36
 Algeria;3,331;0,634;0,3394;0,4427;0,0091;113;138;22;79;48;160;159;1944,784;3,3;4,9;1,8;0,00529;43053054;5,5;0,748;36;2,696;3,5
Mozambique;455;0,723;0,6932;0,8125;0,6759;147;127;106;65;133;93;153;1013,416;N/A;N/A;N/A;0,000994;30366036;46,1;0,456;25;6,4;3,85
 Germany;45,466;0,787;0,1682;0,1642;0,6571;21;15;37;2;18;14;7;4014,203;9,1;13,6;4,8;0,024082;83517045;N/A;0,947;80;3,965;8,68
 Libya;3,282;N/A;0,792;0,0758;0,057;150;163;145;112;154;97;156;180,586;5,5;8,7;2,3;0,001763;6777452;N/A;0,724;17;6,25;2,19
 Iceland;57,189;0,877;0,0798;0,082;0,1913;15;37;77;42;1;105;41;42,186;13,3;21,7;4,7;0,000043;339031;N/A;0,949;75;0;
Central_African_Republic;480;N/A;0,8295;0,8334;0,7916;58;159;148;146;142;89;108;767,884;11,6;18;6;0,000206;4745185;62;0,397;26;6,241;1,52
 Indonesia;4,038;0,7;0,7351;0,768;0,234;160;88;7;62;144;133;84;4532,992;3,7;5,2;2,2;0,013708;270625568;10,6;0,718;37;4,629;6,39
 Turkey;7,715;0,635;0,32;0,2216;0,0049;55;75;78;39;51;40;44;3493,071;7,2;11,3;3,2;0,014317;83429615;13,5;0,82;40;6,11;4,37
 Australia;51,885;0,731;0,0929;0,3349;0,8211;20;48;54;6;50;102;13;577,255;N/A;N/A;N/A;0,007612;25203198;N/A;0,944;77;2,148;9,09
 Colombia;5,207;0,758;0,6014;0,0193;0,1478;78;118;15;121;88;119;98;2869,032;7;11,5;2,8;0,006174;50339443;27;0,767;39;6,1;6,96
 Canada;42,08;0,772;0,7124;0,5772;0,6958;29;25;41;11;39;27;8;1323,087;N/A;N/A;N/A;0,010683;37411047;N/A;0,929;77;3,171;9,15
 Sri_Lanka;3,698;0,68;0,415;0,4645;0,4853;117;141;26;78;72;52;78;1775,768;N/A;N/A;N/A;0,001932;21323733;4,1;0,782;38;6,065;6,19
 Angola;2,021;0,66;0,7867;0,787;0,6276;163;148;119;153;44;117;163;661,59;8,9;14;4,6;0,002572;31825295;36,6;0,581;27;3,429;3,62
 Thailand;7,295;0,708;0,6338;0,6344;0,0994;107;54;21;23;138;109;37;1020,119;12,9;21,4;4,8;0,007973;69037513;8,6;0,777;36;5,783;4,63
 United_Kingdom;39,229;0,767;0,1211;0,0532;0,6944;5;11;48;12;11;35;4;4274,998;N/A;N/A;N/A;0,021158;67530172;N/A;0,932;77;5,161;8,53
 Austria;48,634;0,744;0,1068;0,1522;0,4146;6;7;65;1;17;13;28;575,95;11,4;17,5;5,7;0,002979;8955102;N/A;0,922;76;1,016;8,29
 Kenya;2,075;0,671;0,8588;0,886;0,7765;59;83;63;44;63;130;114;525,437;N/A;N/A;N/A;0,001777;52573973;36,1;0,601;31;5,644;5,11
 Belgium;43,814;0,75;0,5554;0,5409;0,2127;9;1;109;13;22;7;16;581,74;15,7;22,2;9,4;0,003858;11539328;N/A;0,931;76;3,043;7,78
 Niger;536;N/A;0,6518;0,6519;0,2013;120;128;101;88;157;51;143;401,653;9;11,5;6,7;0,000505;23310715;44,5;0,394;32;5,617;3,76
 Brazil;6,45;0,691;0,5408;0,0468;0,6054;109;119;61;50;53;162;40;1745,339;6,1;9,7;2,8;0,024545;211049527;26,5;0,765;38;2,443;
 Myanmar;1,333;0,665;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3699,472;8,1;6,3;9,8;0,006395;54045420;32,1;0,583;28;5,543;6,97
