Entity;Regime_politique;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annes_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Afghanistan;1;-2,311016703; ;0,667;48,1;16;38,168041;0,498;3,8;64,833;1,173907978;29,9;11,44768809;97,7;10131490;28796851
Albania;2;0,851179641;7,538571065;0,26699999;43,3;36;97,553902;0,785;10;78,573;1,27255922;3,6;71,8470405;100;1762579;1075164
Algeria;1;0,354196847;4,985321051;0,42899999;52;35;79,608398;0,754;8;76,88;6,009523489;2,8;47,69105515;99,5;32332690;11518353
Andorra; ;4,221864964; ; ; ; ; ;0,858;10,2;83,732; ; ;91,56746703;100;67928;9337
Angola;1;-0,388862744;5,166512658; ; ;19;71,164162;0,581;5,1;61,147;1,644661129;18,6;14,33907936;45,67031479;21962884;10903384
Antigua and Barbuda; ;1,335031449; ; ;25; ; ;0,78;9,2;77,016; ; ; ;100;23927;74001
Argentina;2;0,784109255;4,839536444; ;25;40;98,089973;0,825;9,9;76,667;0,706520712;3,8;74,29490687;100;41796990;3579773
Armenia;1;0,106262163;7,565793873;0,29300001;10;35;99,768417;0,755;11,7;75,087;4,945726871;2,6;64,74488433;100;1876112;1087122
Australia;3;1,753645266;7,977567819;0,12;39,6;77; ;0,939;12,9;83,436;1,879802395;2,5;86,54504885;100;22152761;3534280
Austria;3;2,275798607;7,564971368;0,078000002;41;76; ;0,908;12,1;81,544;0,725448727;2,5;87,93558659;100;5238680;3678525
Azerbaijan;1;-0,397757013;6,477059287;0,32600001;36;25;99,80526;0,757;10,7;73,005;3,999058616;2,5;79;100;5701802;4408314
Bahamas; ;0,844839947;7,348118274;0,36199999;44,3;65; ;0,807;11,1;73,918; ; ;85;100;327359;65889
Bahrain;0;-0,373735987;7,547998735;0,233; ;36;95,717262;0,846;9,4;77,292;3,690245548; ;95,87813575;100;1523019;178564
Bangladesh;1;-1,422503477;6,320027985;0,51999998;64,5;26;61,493832;0,608;5,8;72,591;1,343644271;13; ;92,2;62873466;101815917
Barbados;3;1,171229206;6,441310507;0,29100001;13;68; ;0,8;10,6;79,19; ;4,3;81,76077839;100;89634;197737
Belarus;1;-0,02901722;6,222585784;0,14399999;25,8;44;99,722038;0,808;12,3;74,791;1,243043704;2,5;74,43644541;100;7470497;1928364
Belgium;3;2,729590384;7,324201584;0,072999999;37;75; ;0,916;11,8;81,628;0,933647268;2,5;87,67968082;100;11334006;221991
Belize; ;0,940695757;6,861622623;0,375;31; ;82,776817;0,708;10,5;74,623;1,165394186;7,6;47,0826258;92,72;183005;214616
Benin;1;0,883672664;5,978389576;0,61299998;42;40;38,44714;0,515;3,6;61,771;0,652801729;7,4;14,11901233;40,31874084;5869446;6253752
Bhutan;2;1,795294373;7,036470399;0,477;29,6;68;63,906818;0,612;3,1;71,777; ; ; ;100;326515;445097
Bolivia;1;0,993489422;6,23460416;0,44600001;30;29;95,141922;0,693;8,9;71,513;1,421958095;15,5;43,83227607;96,30310059;8185478;3487551
Bosnia and Herzegovina;2;1,163504478;6,621755881;0,15800001; ;38;98,485764;0,768;9,7;77,401;0,935792432;2,5;64,89202051;100;1608256;1672559
Botswana;2;1,214679585;7,437125791;0,435;52;61;88,224411;0,717;9,3;69,592;2,770202921;24,1;41,41379464;70,18318176;1666761;684864
Brazil;2;-1,167172456;5,758552944;0,414;31,6;35;92,586807;0,759;7,8;75,881;1,476021635;2,5;67,47128452;99,8;185081854;27477555
Brunei; ;1,976181804;6,941173001; ;31,1;63;96,656532;0,853;9,1;75,86;3,345752386;2,5;94,86669164;100;342330;95153
Bulgaria;2;0,618488942;7,413846286;0,223;23,7;42;98,38858;0,813;11,8;75,046;3,22090415;3;63,41010138;100;5242987;1684301
Burkina Faso;2;0,092185174;6,059183395;0,61500001;40,6;41;37,7467;0,423;1,5;61,577;2,429948399;19,2;15,87620691;18,3791523;6397866;14505412
Burundi;1;-1,595026447;5,932866637;0,47400001;70,3;17;85,496094;0,417;3;61,584;1,765131006; ;2,660748535;11,0647974;1629988;10260793
Cambodia;1;0,025049962;7,187433978;0,479;22;20;78,34594;0,582;4,8;69,823;2,264765445;14,5;32,90027854;93;4051341;12667630
Cameroon;1;-0,931839823;5,844995065;0,56800002;53,3;25;74,98558;0,556;6,3;59,292;1,096663762;6,3;23,20297197;63,45231247;15279799;11266065
Canada;3;2,791056339;7,989774329;0,097999997;32;81; ;0,926;13,3;82,434;1,280344481;2,5;92,70137191;100;30997832;7007406
Cape Verde;2;1,496484765;6,662962575; ;22,4;57;88,465424;0,654;6,1;72,981;0,486092073;18,5;57,16214635;95,53353882;370577;185411
Central African Republic;1;-2,056797688;5,085648; ;50,8;26;36,752609;0,367;4,3;53,283;1,498322557; ;4,339254945;14,3;2038064;2791700
Chad;1;-0,515494095;5,456090431;0,69499999;56,6;19;40,018242;0,404;2,3;54,239;2,17578021;39,6;6,49999812;8,4;3863362;12562497
Chile;2;1,127567152;7,780627687;0,322;15;67;96,627548;0,843;10,3;80,181;1,82160881;3,5;82,32748693;100;16770077;2346132
China;0;-1,298812854;6,451520582;0,164;29;39;96,357452;0,752;7,8;76,912;1,888597953;2,5;54,3;100;861289359;540822641
Colombia;2;-0,892362842;6,4960464;0,39300001;32;36;94,577057;0,747;8,3;77,287;3,152355574;5,5;62,25988032;99,7662735;41431388;9451496
Comoros;1;2,276412694; ; ;29,2;27;78,13739;0,503;4,8;64,321; ; ;8,478170295;84,04824066;255487;614108
Congo;1;-1,285834248;5,0329102;0,59200001;48,5;19;79,311172;0,606;6,3;64,57;2,662898759;28;8,65;48,32972336;3742867;1775225
Costa Rica;3;1,586318505;7,544079485;0,308;19;56;97,647247;0,794;8,8;80,279;0;3,2;71,58166462;99,71;4114567;979547
Cote d'Ivoire;1;-0,439045513;5,994718394;0,67199999;53,3;35;43,26532;0,492;5,2; ; ;19,9;43,83992085;68,55010986;13639151;12739124
Croatia;2;2,178475169;6,95783489;0,141;16;48;99,272591;0,831;11,3;78,488;1,667802902;2,5;67,09619204;100;2329285;1717915
Cuba;0;-0,227479039; ;0,30399999;27,8;47;99,710716;0,777;11,8;78,802; ;2,5;57,14840432;99,8;8743468;2583148
